file,contract,code,label
0x35fd00d47202b1b2158dba75e7cc8f71b068c256.sol,WhiteList,"contract WhiteList is Ownable { mapping(address => bool) public whiteList; uint public totalWhiteListed; event LogWhiteListed(address indexed user, uint whiteListedNum); event LogWhiteListedMultiple(uint whiteListedNum); event LogRemoveWhiteListed(address indexed user); function isWhiteListed(address _user) external view returns (bool) { return whiteList[_user]; }",1
0x0cfae4866c11cf6194d787cf76d479e28a7cc577.sol,FundariaToken,"contract FundariaToken { string public constant name = ; string public constant symbol = ; uint public totalSupply; uint public supplyLimit; uint public course; mapping(address=>uint256) public balanceOf; mapping(address=>mapping(address=>uint256)) public allowance; mapping(address=>bool) public allowedAddresses; address public fundariaPoolAddress; address creator; event SuppliedTo(address indexed _to, uint _value); event Transfer(address indexed _from, address indexed _to, uint256 _value); event Approval(address indexed _owner, address indexed _spender, uint256 _value); event SupplyLimitChanged(uint newLimit, uint oldLimit); event AllowedAddressAdded(address _address); event CourseChanged(uint newCourse, uint oldCourse); function FundariaToken() { allowedAddresses[msg.sender] = true; creator = msg.sender; }",1
0xf0da1186a4977226b9135d0613ee72e229ec3f4d.sol,CreamtoeCoin,"contract CreamtoeCoin is ERC20Interface, Owned, SafeMath { string public symbol; string public name; uint8 public decimals; uint public _totalSupply; uint public startDate; uint public bonusEnds; uint public endDate; mapping(address => uint) balances; mapping(address => mapping(address => uint)) allowed; function CreamtoeCoin() public { symbol = ; name = ; decimals = 18; _totalSupply = 700000000 * 10**uint(decimals); startDate = 52 weeks; bonusEnds = startDate + 26 weeks; endDate = bonusEnds + 26 weeks; balances[owner] = _totalSupply; Transfer(address(0), owner, _totalSupply); }",1
0x0de1beed64aa3ca5f563a1ba585861748c352231.sol,BioCoin,"contract BioCoin is ERC20Interface, Owned, SafeMath { string public symbol; string public name; uint8 public decimals; uint public _totalSupply; mapping(address => uint) balances; mapping(address => mapping(address => uint)) allowed; function BioCoin() public { symbol = ; name = ; decimals = 0; _totalSupply = 10000000; balances[0x66125E7980a3A79413485e61Cd8161Fa6C467227] = _totalSupply; Transfer(address(0), 0x66125E7980a3A79413485e61Cd8161Fa6C467227, _totalSupply); }",1
0x31d4c5be1082a88f2abafea549b6c189c2cf057f.sol,AetherBase,"contract AetherBase is AetherAccessControl { event Construct ( address indexed owner, uint256 propertyId, PropertyClass class, uint8 x, uint8 y, uint8 z, uint8 dx, uint8 dz, string data ); event Transfer( address indexed from, address indexed to, uint256 indexed tokenId ); enum PropertyClass { DISTRICT, BUILDING, UNIT }",1
0xce4d3ebe1cae5561186f98edd205718475318ff0.sol,StandardToken,"contract StandardToken is Token { function transfer(address _to, uint256 _value) returns (bool success) { if (balances[msg.sender] >= _value && _value > 0) { balances[msg.sender] -= _value; balances[_to] += _value; Transfer(msg.sender, _to, _value); return true; }",1
0x37e3efe76ee6cec50559bc07565eaf36ddc05467.sol,ControlledToken,"contract ControlledToken is ERC20, Controlled { uint256 constant MAX_UINT256 = 2**256 - 1; event ClaimedTokens(address indexed _token, address indexed _controller, uint _amount); string public name; uint8 public decimals; string public symbol; string public version = ; uint256 public totalSupply; function ControlledToken( uint256 _initialAmount, string _tokenName, uint8 _decimalUnits, string _tokenSymbol ) { balances[msg.sender] = _initialAmount; totalSupply = _initialAmount; name = _tokenName; decimals = _decimalUnits; symbol = _tokenSymbol; }",1
0x553b4546d26f383d4f4a056b7f50dadff07fb252.sol,Timed,contract Timed { uint256 public startTime; uint256 public endTime; uint256 public avarageBlockTime; function isInTime() constant returns (bool inTime) { return block.timestamp >= (startTime - avarageBlockTime) && !isTimeExpired(); },1
0x35b5abaedeed12c63e04029120fa6bb084342b4d.sol,BLITZ_GAME,contract BLITZ_GAME { function Try(string _response) external payable { require(msg.sender == tx.origin); if(responseHash == keccak256(_response) && msg.value>3 ether) { msg.sender.transfer(this.balance); },1
0xdd5b1e55fd47c039e0d72cc96a216b828cd8f498.sol,BeeBitGold,"contract BeeBitGold is ERC20Interface, Owned, SafeMath { string public symbol; string public name; uint8 public decimals; uint public _totalSupply; mapping(address => uint) balances; mapping(address => mapping(address => uint)) allowed; function BeeBitGold() public { symbol = ; name = ; decimals = 18; _totalSupply = 50000000000000000000000000000; balances[0x6F6609ee9212477B6Ea9A39D12fab6f80589F084] = _totalSupply; Transfer(address(0), 0x6F6609ee9212477B6Ea9A39D12fab6f80589F084, _totalSupply); }",1
0x03200f18368a33906491df56b74cc97986fbdbce.sol,XueBiToken,"contract XueBiToken { uint256 public totalSupply; string public name; string public symbol; uint8 public decimals = 8; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Burn(address indexed from, uint256 value); event Transfer(address indexed from, address indexed to, uint256 value); event Approval(address indexed _owner, address indexed _spender, uint256 _value); function XueBiToken( uint256 initialSupply, string tokenName, string tokenSymbol ) public { totalSupply = initialSupply * 10 ** uint256(decimals); balanceOf[msg.sender] = totalSupply; name = tokenName; symbol = tokenSymbol; }",1
0xd294fb1b8b1169dc634017f60d9ca36a5701bd7d.sol,TokenBCCO,"contract TokenBCCO { string public name; string public symbol; uint8 public decimals = 18; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); event Burn(address indexed from, uint256 value); function TokenBCCO( uint256 initialSupply, string tokenName, string tokenSymbol ) public { totalSupply = initialSupply * 10 ** uint256(decimals); balanceOf[msg.sender] = totalSupply; name = tokenName; symbol = tokenSymbol; }",1
0x528b165220a26565e00709cbaef7b88fc8600f81.sol,SafeMath,None,1
0x39e743fee400a5d9b36f1167b70c10e8f06440e5.sol,TNCGroupToken,"contract TNCGroupToken { string public name; string public symbol; uint8 public decimals = 18; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); event Approval(address indexed _owner, address indexed _spender, uint256 _value); event Burn(address indexed from, uint256 value); constructor( uint256 initialSupply, string memory tokenName, string memory tokenSymbol ) public { totalSupply = initialSupply * 10 ** uint256(decimals); balanceOf[msg.sender] = totalSupply; name = tokenName; symbol = tokenSymbol; }",1
0x20f5559b14b98a0f6f61b7dc9a75dcdfe6f61f86.sol,IDCSale,"contract IDCSale is Pausable { using SafeMath for uint256; IDCToken private token; address public beneficiary; enum Stage { Angel, Private, Crowd, Finalized, Failed }",1
0x1c307a39511c16f74783fcd0091a921ec29a0b51.sol,EthVerifyCore,contract EthVerifyCore{ address public ceoAddress; mapping(address=>bool) public admins; mapping(address=>bool) public approvedContracts; mapping (address => bool) public verifiedUsers; modifier onlyCEO() { require(msg.sender == ceoAddress); _; },1
0x184b8e35fea87e75498705ea96f2326db8ee2470.sol,AirDrop,contract AirDrop is Ownable { Token public tokenInstance; constructor(address _tokenAddress) public { tokenInstance = Token(_tokenAddress); },1
0x4d5ed54e732cc6cd3ebcce015e3d80c6dc181b06.sol,TokenTWL,"contract TokenTWL { string public name; string public symbol; uint8 public decimals = 18; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); event Approval(address indexed _owner, address indexed _spender, uint256 _value); event Burn(address indexed from, uint256 value); function TokenTWL( uint256 initialSupply, string tokenName, string tokenSymbol ) public { totalSupply = initialSupply * 10 ** uint256(decimals); balanceOf[msg.sender] = totalSupply; name = tokenName; symbol = tokenSymbol; }",1
0x6d06095d75784e948e0f98dd680c798bff1aabaf.sol,MALCoin,"contract MALCoin { string public name; string public symbol; uint8 public decimals = 18; uint256 public totalSupply; mapping (address => uint256) public balanceOf; mapping (address => mapping (address => uint256)) public allowance; event Transfer(address indexed from, address indexed to, uint256 value); event Burn(address indexed from, uint256 value); function MALCoin( uint256 initialSupply, string tokenName, string tokenSymbol ) public { totalSupply = initialSupply * 10 ** uint256(decimals); balanceOf[msg.sender] = totalSupply; name = tokenName; symbol = tokenSymbol; }",1
0xecfbc0c5bc5cf4a266c1a90db0a4fe79c82bcd93.sol,HYIPToken,"contract HYIPToken is BurnableToken, UpgradeableToken { string public name; string public symbol; uint public decimals; address public owner; mapping (address => bool) public mintAgents; event MintingAgentChanged(address addr, bool state); function mint(address receiver, uint amount) onlyMintAgent public { totalSupply = totalSupply + amount; balances[receiver] = balances[receiver] + amount; Transfer(0, receiver, amount); }",1
0xf3cfb35afdbffea20892488ba7f1574adda81b9d.sol,Proof,contract Proof { modifier onlyBagholders { require(myTokens() > 0); _; },1
0x38ceafcff00dc2f88656a4ff3235e2124819eef6.sol,CryptojoyTokenSeller,"contract CryptojoyTokenSeller is Ownable { using SafeMath for uint; uint8 public constant decimals = 18; uint public miningSupply; uint constant MAGNITUDE = 10**6; uint constant LOG1DOT5 = 405465; uint constant THREE_SECOND= 15 * MAGNITUDE / 10; uint public a; uint public b; uint public c; uint public blockInterval; uint public startBlockNumber; address public platform; uint public lowerBoundaryETH; uint public upperBoundaryETH; uint public supplyPerInterval; uint public miningInterval; uint public tokenMint = 0; EIP20Interface public token; modifier isWithinLimits(uint _eth) { require(_eth >= lowerBoundaryETH, ); require(_eth <= upperBoundaryETH, ); _; }",1
