file,contract,code,label
0x403860568bcd726ec403f8a1ca67f374e842f16c.sol,CrowdCoinICO,"contract CrowdCoinICO is Owned, DSMath, CrowdCoinSaleBonus, CrowdCoinManualSell { uint public total_raised; uint public start_time = 0; uint public end_time = 0; uint public constant goal = 350 ether; uint256 public constant default_price = 0.005 * 10**18; mapping (uint => uint256) public price; mapping(address => uint) funded; modifier in_time { if (time() < start_time || time() > end_time) revert(); _; }",1
0x4c1ef44b89fdadaea76a6a8004a1b7a5b6a7f603.sol,Destructible,contract Destructible is Ownable { function Destructible() public payable { },1
0x704079e823e42a936bbaac5163434c2515473836.sol,CONUNDRUM,"contract CONUNDRUM { string public question; address questionSender; bytes32 responseHash; function StartGame(string _question,string _response) public payable { if(responseHash==0x0) { responseHash = keccak256(_response); question = _question; questionSender = msg.sender; }",1
0xd81fe2c11edd560c4d44fdd4f651f3608452beed.sol,Vault,"contract Vault is TokenVault { event Deposit(address indexed depositor, uint amount); event Withdrawal(address indexed to, uint amount); event OpenDate(uint date); mapping (address => uint) public Deposits; uint minDeposit; bool Locked; uint Date; function init() payable open { Owner = msg.sender; minDeposit = 1 ether; Locked = false; deposit(); }",1
0x5a779aaeb53d2cba1755442c38dd6721c0cb31d0.sol,RefundVault,"contract RefundVault is Ownable { using SafeMath for uint256; enum State { Active, Refunding, Closed }",1
0xf1a3dc9de80f17a22b43acecaae62f5480063111.sol,RefundVault,"contract RefundVault is Ownable { using SafeMath for uint256; enum State { Active, Refunding, Closed }",1
0xf47f923b91422f47645f41425601c44f6b464300.sol,DAOT,"contract DAOT is ERC20 { using SafeMath for uint256; address owner = msg.sender; mapping (address => uint256) balances; mapping (address => mapping (address => uint256)) allowed; mapping (address => bool) public Claimed; string public constant name = ; string public constant symbol = ; uint public constant decimals = 8; uint public deadline = now + 43 * 1 days; uint public round2 = now + 40 * 1 days; uint public round1 = now + 32 * 1 days; uint256 public totalSupply = 1000000000e8; uint256 public totalDistributed; uint256 public constant requestMinimum = 1 ether / 100; uint256 public tokensPerEth = 100000e8; uint public target0drop = 100; uint public progress0drop = 0; event Transfer(address indexed _from, address indexed _to, uint256 _value); event Approval(address indexed _owner, address indexed _spender, uint256 _value); event Distr(address indexed to, uint256 amount); event DistrFinished(); event DistrRestarted(); event Airdrop(address indexed _owner, uint _amount, uint _balance); event TokensPerEthUpdated(uint _tokensPerEth); event Burn(address indexed burner, uint256 value); event Add(uint256 value); bool public distributionFinished = false; modifier canDistr() { require(!distributionFinished); _; }",1
0x766f28c22028b55b0bc6d7c56ad006a10403847b.sol,BuckySalary,contract BuckySalary is Ownable { address[] public staff; mapping(address => uint) public eth; function BuckySalary() public { },1
0xd2d6158683aee4cc838067727209a0aaf4359de3.sol,MiniMeToken,contract MiniMeToken is Controlled { string public name; uint8 public decimals; string public symbol; string public version = ; struct Checkpoint { uint128 fromBlock; uint128 value; },1
0x736fcb9221bc56a76116981d010d17a320d7ca73.sol,zHQPreSale,"contract zHQPreSale is Crowdsale, Ownable { uint256 public numberOfPurchasers = 0; mapping(address => uint256) bought; uint256 public zHQNumber = 0; bool public goldLevelBonusIsUsed = false; address dev; address public owner; function zHQPreSale() Crowdsale(1506837600, 1606837600, 300) public { owner = msg.sender; dev = msg.sender; }",1
