file,contract,code,label,graph
0x17a03553719001e05dc19a20f5e82ee76923a985.sol,Auction,"contract Auction is Pausable, AuctionBase { function withdrawBalance() external { address nftAddress = address(nonFungibleContract); require( msg.sender == owner || msg.sender == nftAddress ); nftAddress.transfer(address(this).balance); }",1,"subgraph cluster_641_AuctionBase {
label=""AuctionBase"";
""641__isOnAuction"" [label=""_isOnAuction""];
""641__currentPrice"" [label=""_currentPrice""];
""641__transfer"" [label=""_transfer""];
""641__addAuction"" [label=""_addAuction""];
""641__computeCut"" [label=""_computeCut""];
""641__escrow"" [label=""_escrow""];
""641_fallback"" [label=""fallback""];
""641__cancelAuction"" [label=""_cancelAuction""];
""641__owns"" [label=""_owns""];
""641__bid"" [label=""_bid""];
""641__removeAuction"" [label=""_removeAuction""];
""641__bid"" -> ""641__computeCut"";
""641__bid"" -> ""641__isOnAuction"";
""641__cancelAuction"" -> ""641__removeAuction"";
""641__bid"" -> ""641__currentPrice"";
""641__cancelAuction"" -> ""641__transfer"";
""641__bid"" -> ""641__removeAuction"";
}
"
0xec841c878435ba4f28bf305a00c1483db0d96a20.sol,Events,contract Events { DBInterface public database; constructor(address _database) public{ database = DBInterface(_database); },1,"subgraph cluster_1000_Events {
label=""Events"";
""1000_escrow"" [label=""escrow""];
""1000_contractChange"" [label=""contractChange""];
""1000_consensus"" [label=""consensus""];
""1000_registration"" [label=""registration""];
""1000_operator"" [label=""operator""];
""1000_transaction"" [label=""transaction""];
""1000_asset"" [label=""asset""];
""1000_order"" [label=""order""];
""1000_message"" [label=""message""];
""1000_constructor"" [label=""constructor""];
""1000_exchange"" [label=""exchange""];
""1000_message"" -> ""1000_onlyApprovedContract"";
""1000_escrow"" -> ""1000_onlyApprovedContract"";
""1000_contractChange"" -> ""1000_onlyApprovedContract"";
""1000_exchange"" -> ""1000_onlyApprovedContract"";
""1000_registration"" -> ""1000_onlyApprovedContract"";
""1000_consensus"" -> ""1000_onlyApprovedContract"";
""1000_order"" -> ""1000_onlyApprovedContract"";
""1000_transaction"" -> ""1000_onlyApprovedContract"";
""1000_asset"" -> ""1000_onlyApprovedContract"";
""1000_operator"" -> ""1000_onlyApprovedContract"";
}
"
0x17cba58578eecaee898242a02edac75b8cc17231.sol,AUMXToken,"contract AUMXToken is ERC223, SafeMath{ mapping(address => mapping(address => uint)) allowed; mapping(address => uint) balances; string public name = ; string public symbol = ; uint8 public decimals = 8; uint256 public totalSupply = 5000000000000000; bool locked; address Owner; address swapperAddress; function AUMXToken() public { locked = true; Owner = msg.sender; swapperAddress = msg.sender; balances[msg.sender] = totalSupply; allowed[msg.sender][swapperAddress] = totalSupply; }",1,"subgraph cluster_763_AUMXToken {
label=""AUMXToken"";
""763_decimals"" [label=""decimals""];
""763_isContract"" [label=""isContract""];
""763_AUMXToken"" [label=""AUMXToken""];
""763_transferToAddress"" [label=""transferToAddress""];
""763_transferToContract"" [label=""transferToContract""];
""763_ChangeSwapperAddress"" [label=""ChangeSwapperAddress""];
""763_name"" [label=""name""];
""763_UnlockToken"" [label=""UnlockToken""];
""763_transferFrom"" [label=""transferFrom""];
""763_totalSupply"" [label=""totalSupply""];
""763_transfer"" [label=""transfer""];
""763_symbol"" [label=""symbol""];
""763_balanceOf"" [label=""balanceOf""];
""763_transferToAddress"" -> ""763_safeSub"";
""763_transferToContract"" -> ""763_safeSub"";
""763_transferFrom"" -> ""763_safeAdd"";
""763_transferToContract"" -> ""763_safeAdd"";
""763_transfer"" -> ""763_isUnlocked"";
""763_transfer"" -> ""763_isContract"";
""763_ChangeSwapperAddress"" -> ""763_onlyOwner"";
""763_transfer"" -> ""763_safeSub"";
""763_transferToAddress"" -> ""763_balanceOf"";
""763_transfer"" -> ""763_transferToContract"";
""763_transferToAddress"" -> ""763_safeAdd"";
""763_transfer"" -> ""763_safeAdd"";
""763_UnlockToken"" -> ""763_onlyOwner"";
""763_transferFrom"" -> ""763_safeSub"";
""763_transfer"" -> ""763_transferToAddress"";
""763_transferToContract"" -> ""763_balanceOf"";
""763_transfer"" -> ""763_balanceOf"";
""763_transferFrom"" -> ""763_balanceOf"";
}
"
0x1dd6363c7f7a3150fb7ab13c29fe92f5bab23457.sol,CharityProject,"contract CharityProject is RBACManager { using SafeMath for uint256; modifier canWithdraw() { require( canWithdrawBeforeEnd || closingTime == 0 || block.timestamp > closingTime, ); _; }",1,"subgraph cluster_758_CharityProject {
label=""CharityProject"";
""758_constructor"" [label=""constructor""];
""758_setTimes"" [label=""setTimes""];
""758_setCanWithdrawBeforeEnd"" [label=""setCanWithdrawBeforeEnd""];
""758_hasClosed"" [label=""hasClosed""];
""758_hasStarted"" [label=""hasStarted""];
""758_withdrawTokens"" [label=""withdrawTokens""];
""758_maxGoalReached"" [label=""maxGoalReached""];
""758_setMaxGoal"" [label=""setMaxGoal""];
""758_totalRaised"" [label=""totalRaised""];
""758_maxGoalReached"" -> ""758_totalRaised"";
""758_withdrawTokens"" -> ""758_canWithdraw"";
""758_withdrawTokens"" -> ""758_onlyOwnerOrManager"";
""758_setMaxGoal"" -> ""758_onlyOwner"";
""758_setCanWithdrawBeforeEnd"" -> ""758_onlyOwner"";
""758_constructor"" -> ""758_addManager"";
""758_setTimes"" -> ""758_onlyOwner"";
}
"
0x1fd2a7194c6bdc3c8f2c3b59b73f008a8f7a4818.sol,TokenTimelock,contract TokenTimelock is Ownable { using SafeERC20 for ERC20; using SafeMath for uint256; ERC20 public token; mapping(address => uint256) public balances; mapping(address => uint256) public releaseTime; constructor(ERC20 _token) public { token = _token; },1,"subgraph cluster_434_TokenTimelock {
label=""TokenTimelock"";
""434_constructor"" [label=""constructor""];
""434_getTokens"" [label=""getTokens""];
""434_addTokens"" [label=""addTokens""];
""434_addTokens"" -> ""434_onlyOwner"";
}
"
0x733984edbb5890419f82f2b37922a8f5f5c53773.sol,Crowdsale,"contract Crowdsale { using SafeMath for uint256; address public wallet; address public addressOfTokenUsedAsReward; uint256 public price = 1000; token tokenReward; uint256 public weiRaised; event TokenPurchase(address indexed purchaser, address indexed beneficiary, uint256 value, uint256 amount); function Crowdsale() { wallet = 0xE0F6D3759EcF5A8f8880EFA7F2BD0F54429f5da5; addressOfTokenUsedAsReward = 0x41385664aAd657990000004D3906d1572A6bb4c6; tokenReward = token(addressOfTokenUsedAsReward); }",1,"subgraph cluster_347_Crowdsale {
label=""Crowdsale"";
""347_buyTokens"" [label=""buyTokens""];
""347_withdrawTokens"" [label=""withdrawTokens""];
""347_forwardFunds"" [label=""forwardFunds""];
""347_changeWallet"" [label=""changeWallet""];
""347_fallback"" [label=""fallback""];
""347_changeTokenReward"" [label=""changeTokenReward""];
""347_Crowdsale"" [label=""Crowdsale""];
""347_validPurchase"" [label=""validPurchase""];
""347_stopSale"" [label=""stopSale""];
""347_startSale"" [label=""startSale""];
""347_setPrice"" [label=""setPrice""];
""347_fallback"" -> ""347_buyTokens"";
""347_buyTokens"" -> ""347_forwardFunds"";
""347_buyTokens"" -> ""347_validPurchase"";
}
"
0x54c548703c6f423cf7ed22806b608d332fcebb3b.sol,StarbaseEarlyPurchaseAmendment,contract StarbaseEarlyPurchaseAmendment { event EarlyPurchaseInvalidated(uint256 epIdx); event EarlyPurchaseAmended(uint256 epIdx); AbstractStarbaseCrowdsale public starbaseCrowdsale; StarbaseEarlyPurchase public starbaseEarlyPurchase; address public owner; uint256[] public invalidEarlyPurchaseIndexes; uint256[] public amendedEarlyPurchaseIndexes; mapping (uint256 => StarbaseEarlyPurchase.EarlyPurchase) public amendedEarlyPurchases; modifier noEther() { require(msg.value == 0); _; },1,"subgraph cluster_1075_StarbaseEarlyPurchaseAmendment {
label=""StarbaseEarlyPurchaseAmendment"";
""1075_starbaseEarlyPurchase"" [label=""starbaseEarlyPurchase""];
""1075_isInvalidEarlyPurchase"" [label=""isInvalidEarlyPurchase""];
""1075_isAmendedEarlyPurchase"" [label=""isAmendedEarlyPurchase""];
""1075_StarbaseEarlyPurchaseAmendment"" [label=""StarbaseEarlyPurchaseAmendment""];
""1075_purchasedAmountBy"" [label=""purchasedAmountBy""];
""1075_normalizedEarlyPurchases"" [label=""normalizedEarlyPurchases""];
""1075_invalidateEarlyPurchase"" [label=""invalidateEarlyPurchase""];
""1075_amendEarlyPurchase"" [label=""amendEarlyPurchase""];
""1075_getEarlyPurchase"" [label=""getEarlyPurchase""];
""1075_totalAmountOfEarlyPurchases"" [label=""totalAmountOfEarlyPurchases""];
""1075_setup"" [label=""setup""];
""1075_earlyPurchases"" [label=""earlyPurchases""];
""1075_loadStarbaseEarlyPurchases"" [label=""loadStarbaseEarlyPurchases""];
""1075_amendedEarlyPurchases"" [label=""amendedEarlyPurchases""];
""1075_numberOfEarlyPurchases"" [label=""numberOfEarlyPurchases""];
""1075_numberOfRawEarlyPurchases"" [label=""numberOfRawEarlyPurchases""];
""1075_normalizedEarlyPurchases"" -> ""1075_numberOfRawEarlyPurchases"";
""1075_loadStarbaseEarlyPurchases"" -> ""1075_onlyOwner"";
""1075_isAmendedEarlyPurchase"" -> ""1075_noEther"";
""1075_isAmendedEarlyPurchase"" -> ""1075_numberOfRawEarlyPurchases"";
""1075_amendEarlyPurchase"" -> ""1075_noEther"";
""1075_amendEarlyPurchase"" -> ""1075_onlyOwner"";
""1075_amendEarlyPurchase"" -> ""1075_numberOfRawEarlyPurchases"";
""1075_StarbaseEarlyPurchaseAmendment"" -> ""1075_noEther"";
""1075_invalidateEarlyPurchase"" -> ""1075_numberOfRawEarlyPurchases"";
""1075_invalidateEarlyPurchase"" -> ""1075_onlyEarlyPurchasesLoaded"";
""1075_isInvalidEarlyPurchase"" -> ""1075_numberOfRawEarlyPurchases"";
""1075_normalizedEarlyPurchases"" -> ""1075_isAmendedEarlyPurchase"";
""1075_numberOfEarlyPurchases"" -> ""1075_noEther"";
""1075_loadStarbaseEarlyPurchases"" -> ""1075_onlyBeforeCrowdsale"";
""1075_totalAmountOfEarlyPurchases"" -> ""1075_normalizedEarlyPurchases"";
""1075_purchasedAmountBy"" -> ""1075_normalizedEarlyPurchases"";
""1075_totalAmountOfEarlyPurchases"" -> ""1075_noEther"";
""1075_earlyPurchases"" -> ""1075_onlyEarlyPurchasesLoaded"";
""1075_isInvalidEarlyPurchase"" -> ""1075_noEther"";
""1075_amendEarlyPurchase"" -> ""1075_isInvalidEarlyPurchase"";
""1075_amendEarlyPurchase"" -> ""1075_onlyBeforeCrowdsale"";
""1075_invalidateEarlyPurchase"" -> ""1075_onlyBeforeCrowdsale"";
""1075_amendEarlyPurchase"" -> ""1075_onlyEarlyPurchasesLoaded"";
""1075_amendEarlyPurchase"" -> ""1075_isAmendedEarlyPurchase"";
""1075_invalidateEarlyPurchase"" -> ""1075_onlyOwner"";
""1075_numberOfRawEarlyPurchases"" -> ""1075_onlyEarlyPurchasesLoaded"";
""1075_setup"" -> ""1075_onlyOwner"";
""1075_normalizedEarlyPurchases"" -> ""1075_isInvalidEarlyPurchase"";
""1075_setup"" -> ""1075_noEther"";
""1075_numberOfEarlyPurchases"" -> ""1075_normalizedEarlyPurchases"";
""1075_getEarlyPurchase"" -> ""1075_onlyEarlyPurchasesLoaded"";
""1075_purchasedAmountBy"" -> ""1075_noEther"";
""1075_invalidateEarlyPurchase"" -> ""1075_noEther"";
""1075_loadStarbaseEarlyPurchases"" -> ""1075_noEther"";
""1075_normalizedEarlyPurchases"" -> ""1075_getEarlyPurchase"";
}
"
0x85179ac15aa94e3ca32dd1cc04664e9bb0062115.sol,COIN_BOX,contract COIN_BOX { struct Holder { uint unlockTime; uint balance; },1,"subgraph cluster_157_COIN_BOX {
label=""COIN_BOX"";
""157_Collect"" [label=""Collect""];
""157_Put"" [label=""Put""];
""157_Initialized"" [label=""Initialized""];
""157_SetMinSum"" [label=""SetMinSum""];
""157_fallback"" [label=""fallback""];
""157_SetLogFile"" [label=""SetLogFile""];
""157_fallback"" -> ""157_Put"";
}
"
0x0d61178ce25bf05c5b19dc56f30e0f10cbbe9f2b.sol,Lottery,contract Lottery is Ownable { modifier secCheck(address aContract) { require(aContract != address(contractCall)); _; },1,"subgraph cluster_556_Lottery {
label=""Lottery"";
""556_myTokens"" [label=""myTokens""];
""556_changeThreshold"" [label=""changeThreshold""];
""556_imAlive"" [label=""imAlive""];
""556_donateToDev"" [label=""donateToDev""];
""556_constructor"" [label=""constructor""];
""556_payWinner"" [label=""payWinner""];
""556_returnAnyERC20Token"" [label=""returnAnyERC20Token""];
""556_giveawayFee"" [label=""giveawayFee""];
""556_buyTickets"" [label=""buyTickets""];
""556_changeTicketPrice"" [label=""changeTicketPrice""];
""556_adminIsDead"" [label=""adminIsDead""];
""556_myDividends"" [label=""myDividends""];
""556_payWinnerManually"" [label=""payWinnerManually""];
""556_fallback"" [label=""fallback""];
""556_PRNG"" [label=""PRNG""];
""556_payWinnerManually2"" [label=""payWinnerManually2""];
""556_returnAnyERC20Token"" -> ""556_onlyOwner"";
""556_payWinnerManually2"" -> ""556_payWinner"";
""556_changeThreshold"" -> ""556_onlyOwner"";
""556_returnAnyERC20Token"" -> ""556_secCheck"";
""556_payWinner"" -> ""556_PRNG"";
""556_payWinnerManually"" -> ""556_onlyOwner"";
""556_buyTickets"" -> ""556_payWinner"";
""556_payWinnerManually"" -> ""556_payWinner"";
""556_buyTickets"" -> ""556_giveawayFee"";
""556_changeTicketPrice"" -> ""556_onlyOwner"";
""556_imAlive"" -> ""556_onlyOwner"";
""556_adminIsDead"" -> ""556_payWinnerManually2"";
}
"
0xeb71e963645f1e76f233f70e1b0815e8f089bbc8.sol,SimplePHXExchange,contract SimplePHXExchange { uint public ScaleFactor = 10 ** 18; address[] public tknOfferors; mapping(address => uint256) public tknAddrNdx; mapping(address => uint256) public tknTokensOffered; mapping(address => uint256) public tknPricePerToken; address[] public ethOfferors; mapping(address => uint256) public ethAddrNdx; mapping(address => uint256) public ethEtherOffered; mapping(address => uint256) public ethPricePerToken; ERC20Token public phxCoin; function SimplePHXExchange() public { phxCoin = ERC20Token(0x14b759A158879B133710f4059d32565b4a66140C); tknOfferors.push(0x0); ethOfferors.push(0x0); },1,"subgraph cluster_657_SimplePHXExchange {
label=""SimplePHXExchange"";
""657_getTknOfferor"" [label=""getTknOfferor""];
""657_cancelTknOffer"" [label=""cancelTknOffer""];
""657_buyEth"" [label=""buyEth""];
""657_getNumEthOfferors"" [label=""getNumEthOfferors""];
""657__cancelTknOffer"" [label=""_cancelTknOffer""];
""657_getEthOfferPrice"" [label=""getEthOfferPrice""];
""657_SimplePHXExchange"" [label=""SimplePHXExchange""];
""657_cancelEthOffer"" [label=""cancelEthOffer""];
""657_updateTknPrice"" [label=""updateTknPrice""];
""657_getEthOfferor"" [label=""getEthOfferor""];
""657__cancelEthOffer"" [label=""_cancelEthOffer""];
""657_getTknOfferPrice"" [label=""getTknOfferPrice""];
""657_buyTkn"" [label=""buyTkn""];
""657_offerTkn"" [label=""offerTkn""];
""657_getEthOfferAmount"" [label=""getEthOfferAmount""];
""657_offerEth"" [label=""offerEth""];
""657_getNumTknOfferors"" [label=""getNumTknOfferors""];
""657_getTknOfferAmount"" [label=""getTknOfferAmount""];
""657_updateEthPrice"" [label=""updateEthPrice""];
""657__humanSender"" [label=""_humanSender""];
""657_offerEth"" -> ""657__humanSender"";
""657_cancelEthOffer"" -> ""657__cancelEthOffer"";
""657_buyEth"" -> ""657__humanSender"";
""657_offerTkn"" -> ""657__humanSender"";
""657_buyTkn"" -> ""657__humanSender"";
""657_cancelTknOffer"" -> ""657__cancelTknOffer"";
""657_buyEth"" -> ""657__cancelEthOffer"";
""657_buyTkn"" -> ""657__cancelTknOffer"";
}
"
