loss:0.5461195604444823, acc:72.70754507010906, f1:0.6226052165884435, recall:0.5628042843232717
loss:0.44526762491443406, acc:80.30269307812152, f1:0.7359391317320603, recall:0.6861872304910279
loss:0.41033383196359, acc:82.62853327398176, f1:0.7696620923712557, recall:0.7255529280845736
loss:0.39500864613734954, acc:83.58001335410638, f1:0.7847399518564446, recall:0.7482264570872166
loss:0.3835939272866979, acc:84.38125973736923, f1:0.7975185746230975, recall:0.7689525664209208
loss:0.3745313263448532, acc:85.23258401958603, f1:0.8092020129403307, recall:0.7828627069133398
loss:0.3656450620325435, acc:85.72223458713555, f1:0.8173665480427046, recall:0.7987202670746975
loss:0.3626070942636911, acc:86.03383040284888, f1:0.8222883035967148, recall:0.8077618583947698
loss:0.361144949904116, acc:86.35655464055198, f1:0.8260992907801419, recall:0.810126582278481
loss:0.3567912379723851, acc:86.76274204317828, f1:0.831813361611877, recall:0.8183335651690082
loss:0.3565180670748402, acc:86.97418206098375, f1:0.8354537147676953, recall:0.8266796494644596
loss:0.3563312352552109, acc:87.20787892276876, f1:0.8384512683578104, recall:0.8298789817777159
loss:0.35750375661561495, acc:87.24126418873803, f1:0.8387369013292074, recall:0.8294616775629434
loss:0.3579589796129919, acc:87.4860894725128, f1:0.8423855911416357, recall:0.8359994435943803
loss:0.35311140528353085, acc:87.96461161807255, f1:0.8479651367118859, recall:0.8390596745027125
loss:0.3546653889464314, acc:88.02025372802137, f1:0.8490711531720996, recall:0.842398108220893
loss:0.3560802525578869, acc:88.02025372802137, f1:0.8503093930334422, recall:0.8506050911114202
loss:0.35271445319745887, acc:88.2150011128422, f1:0.8531002913025385, recall:0.8554736402837668
loss:0.3480789429140261, acc:88.76029379034053, f1:0.8598584709310393, recall:0.8620114063152038
loss:0.33422224218310836, acc:89.75072334742934, f1:0.8732103524229075, recall:0.8823202114341355
loss:0.3271631728393751, acc:90.15691075005564, f1:0.8781260764726145, recall:0.8864932535818612
loss:0.30011160252781527, acc:91.67037614066325, f1:0.8975148901211748, recall:0.9118097092780637
loss:0.2942636261737219, acc:92.2991319830848, f1:0.9055032090673222, recall:0.9223814160523022
loss:0.2869086135642809, acc:92.72201201869575, f1:0.9107532751091703, recall:0.9283627764640423
loss:0.26944654373935956, acc:93.80146895170265, f1:0.9240523588764658, recall:0.9426902211712338
loss:0.26039564264838805, acc:94.45248163810372, f1:0.93206132879046, recall:0.9513145082765336
loss:0.2555384737741056, acc:94.85310482973514, f1:0.9369418501602018, recall:0.9559048546390319
loss:0.24797363600484842, acc:95.4818606721567, f1:0.9446640316205533, recall:0.9641118375295591
loss:0.24443686888735489, acc:95.72668595593144, f1:0.9476196971763743, recall:0.9663374600083461
loss:0.24988619283212885, acc:95.73225016692632, f1:0.9476914683216259, recall:0.9664765614132703
loss:0.24750546103482568, acc:96.1161807255731, f1:0.9524846834581348, recall:0.9731534288496314
loss:0.24443496159175113, acc:96.2385933674605, f1:0.953869250716528, recall:0.9721797190151621
loss:0.2458537384814639, acc:96.39439127531716, f1:0.9558402616873382, recall:0.9755181527333426
loss:0.24277090867219023, acc:96.68373024705097, f1:0.9593451568894952, recall:0.9781610794269022
loss:0.24188529124675695, acc:96.92299131983086, f1:0.962291169451074, recall:0.9814995131450828
loss:0.2429829339009587, acc:97.02871132873358, f1:0.9636140637775961, recall:0.9835860342189456
loss:0.24710069936153303, acc:96.95081237480525, f1:0.9626397600218162, recall:0.9820559187647795
loss:0.25901917726119644, acc:96.75050077898953, f1:0.9601201857416006, recall:0.9778828766170539
loss:0.2564707342203826, acc:97.04540396171822, f1:0.9637369391518131, recall:0.9814995131450828
loss:0.26625841002235207, acc:96.78388604495882, f1:0.9605406881485528, recall:0.9785783836416748
