loss:0.5584568946392505, acc:70.10183299389003, f1:0.5942509673852957, recall:0.5473523421588594
loss:0.49032948466090415, acc:76.4765784114053, f1:0.7069271758436945, recall:0.7092668024439919
loss:0.4822131933329941, acc:77.55600814663951, f1:0.715539494062984, recall:0.7057026476578412
loss:0.4801219248926485, acc:77.9633401221996, f1:0.7199792960662525, recall:0.7082484725050916
loss:0.4531909939530608, acc:80.36659877800408, f1:0.7540816326530613, recall:0.7525458248472505
loss:0.4477166696028276, acc:81.05906313645622, f1:0.7634791454730417, recall:0.7642566191446029
loss:0.44443335161580666, acc:81.69042769857434, f1:0.768119680165076, recall:0.7581466395112016
loss:0.4316591546907053, acc:83.27902240325865, f1:0.7914655829311659, recall:0.7932790224032586
loss:0.4398005086106139, acc:82.85132382892057, f1:0.7843237704918032, recall:0.7795315682281059
loss:0.39592197963169645, acc:84.989816700611, f1:0.8128966742828129, recall:0.8151731160896131
loss:0.40461842328697056, acc:85.13238289205702, f1:0.8140601120733572, recall:0.8136456211812627
loss:0.38096620548855176, acc:86.78207739307535, f1:0.8354045143291909, recall:0.8385947046843177
loss:0.37396514938249215, acc:86.92464358452139, f1:0.8374683544303797, recall:0.8421588594704684
loss:0.3791344129032903, acc:87.5152749490835, f1:0.8446134347275032, recall:0.8482688391038696
loss:0.36289175415967967, acc:88.24847250509164, f1:0.8539610225259427, recall:0.8589613034623218
loss:0.3604682039517861, acc:88.39103869653768, f1:0.8562783661119516, recall:0.8645621181262729
loss:0.35948539438185756, acc:89.28716904276985, f1:0.8667004561581348, recall:0.8706720977596741
loss:0.32386484277712835, acc:91.26272912423626, f1:0.891912320483749, recall:0.9012219959266803
loss:0.3197793507730806, acc:91.56822810590631, f1:0.896551724137931, recall:0.9134419551934827
loss:0.3035752602985927, acc:92.30142566191446, f1:0.904833836858006, recall:0.914969450101833
loss:0.29719761478436457, acc:93.0346232179226, f1:0.9142857142857143, recall:0.9287169042769857
loss:0.31097092992299563, acc:92.13849287169043, f1:0.9029175050301811, recall:0.9139511201629328
loss:0.2761204662648114, acc:93.93075356415478, f1:0.9250879839115134, recall:0.9368635437881874
loss:0.30102039796191377, acc:93.25865580448065, f1:0.9169801856032105, recall:0.9307535641547862
loss:0.29836924741794535, acc:93.15682281059064, f1:0.9153652392947104, recall:0.925152749490835
loss:0.27352439931460787, acc:94.96945010183299, f1:0.9379241015330485, recall:0.9501018329938901
loss:0.28625900056455045, acc:94.39918533604889, f1:0.9307479224376731, recall:0.9409368635437881
loss:0.2895983264043734, acc:94.23625254582485, f1:0.9284811726055092, recall:0.935336048879837
loss:0.2494964667341926, acc:96.4765784114053, f1:0.9562800101086681, recall:0.9633401221995926
loss:0.2639961414909982, acc:96.02851323828921, f1:0.9507202426080363, recall:0.9577393075356415
loss:0.23492126418398573, acc:97.27087576374745, f1:0.9662808253648717, recall:0.9775967413441955
loss:0.2547727722626228, acc:96.4765784114053, f1:0.9563462023719405, recall:0.964867617107943
loss:0.2557808220773548, acc:96.63951120162932, f1:0.9583438525624842, recall:0.9663951120162932
loss:0.23452611190158051, acc:97.4949083503055, f1:0.9688370914618698, recall:0.9735234215885947
loss:0.255777551175712, acc:97.06720977596741, f1:0.9635995955510617, recall:0.9704684317718941
loss:0.23328868657737584, acc:97.92260692464359, f1:0.9741641337386018, recall:0.9791242362525459
loss:0.22714133173614354, acc:98.5336048879837, f1:0.9817905918057663, recall:0.9882892057026477
loss:0.22247159152061907, acc:98.59470468431772, f1:0.9824828636709825, recall:0.9852342158859471
loss:0.22868708646916724, acc:98.59470468431772, f1:0.9824917533620908, recall:0.9857433808553971
loss:0.24684177938993876, acc:97.84114052953157, f1:0.9730691056910569, recall:0.975050916496945
loss:0.27381712449835494, acc:97.20977596741344, f1:0.9653076728285642, recall:0.9704684317718941
loss:0.23943733472328682, acc:98.71690427698574, f1:0.9840142095914742, recall:0.9872708757637475
loss:0.2582650664564851, acc:97.92260692464359, f1:0.9741641337386018, recall:0.9791242362525459
