loss:0.40997246315153385, acc:80.1015228426396, f1:0.7437536316095293, recall:0.7219402143260011
loss:0.2701040636078059, acc:89.29498025944727, f1:0.8657898458492433, recall:0.8632261703327693
loss:0.23593073992206037, acc:90.7727016356458, f1:0.8851123595505618, recall:0.8886068809926678
loss:0.2315412387251854, acc:90.8516638465877, f1:0.8861754385964913, recall:0.8902989283699944
loss:0.22184063344121838, acc:91.48336153412295, f1:0.8942725108528218, recall:0.9004512126339538
loss:0.2165479137957525, acc:91.46080090242526, f1:0.8930941957350657, recall:0.8917089678510999
loss:0.22030683639023801, acc:91.34799774393683, f1:0.8917736701001834, recall:0.8911449520586576
loss:0.20227253573725548, acc:92.1150592216582, f1:0.9016185784658691, recall:0.9032712915961647
loss:0.2128502413523283, acc:91.46080090242526, f1:0.893485296186858, recall:0.8953750705019741
loss:0.20179194662210753, acc:92.34066553863508, f1:0.904594632569903, recall:0.9077834179357022
loss:0.2015428569355457, acc:92.22786238014665, f1:0.9032167439247085, recall:0.9066553863508178
loss:0.20007433908448802, acc:92.32938522278624, f1:0.904467547063782, recall:0.9077834179357022
loss:0.19228460468191036, acc:92.82571912013536, f1:0.9106490587243607, recall:0.9139875916525663
loss:0.1962286353432875, acc:92.2391426959955, f1:0.9032892887264549, recall:0.9060913705583756
loss:0.20447032925465125, acc:91.96841511562323, f1:0.9003359462486002, recall:0.9069373942470389
loss:0.18657846941793566, acc:92.74675690919346, f1:0.9096275474349965, recall:0.9125775521714607
loss:0.19682509958636846, acc:92.45346869712353, f1:0.9058409570724841, recall:0.9075014100394811
loss:0.18090157762920256, acc:92.94980259447264, f1:0.9123790831347259, recall:0.9176536943034405
loss:0.19795707827634948, acc:92.19402143260011, f1:0.9029180695847363, recall:0.9075014100394811
loss:0.19542684783931258, acc:92.44218838127468, f1:0.9060044893378226, recall:0.9106034968979131
loss:0.18551651468808703, acc:92.89340101522842, f1:0.9114671163575042, recall:0.9145516074450084
loss:0.18644768423099312, acc:92.93852227862381, f1:0.9120786516853933, recall:0.9156796390298928
loss:0.17898322797293287, acc:93.09644670050761, f1:0.9143816452154448, recall:0.9216018048505358
loss:0.1838816202265753, acc:92.73547659334461, f1:0.9097280627978693, recall:0.9151156232374507
loss:0.1807955001755584, acc:93.2205301748449, f1:0.9157909485778338, recall:0.9216018048505358
loss:0.1745665474332494, acc:93.2205301748449, f1:0.9157437263423525, recall:0.9210377890580936
loss:0.179224285719206, acc:93.18668922729837, f1:0.9155953046394634, recall:0.9238578680203046
loss:0.17274968942506708, acc:93.41229554427524, f1:0.9183673469387755, recall:0.9263959390862944
loss:0.1945951596277652, acc:92.54371122391427, f1:0.907149880601208, recall:0.9106034968979131
loss:0.186588354408741, acc:92.89340101522842, f1:0.911690496215307, recall:0.9170896785109983
